CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
33.938.119/0001-69;2024-12-31;1;CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG;259638;0;259638;12206;0;12206
33.958.695/0001-78;2024-12-31;1;UNIPAR CARBOCLORO S.A.;39059883;74113382;113173265;16800;433624;450424
34.169.557/0001-72;2024-12-31;1;BCO MERCANTIL DE INVESTIMENTOS S.A.;4115;710;4825;0;0;0
34.274.233/0001-02;2024-12-31;1;VIBRA ENERGIA S/A;1119000;0;1119000;4489;0;4489
35.522.178/0001-87;2024-12-31;1;CIA SECURITIZADORA DE CRED. FIN. CARTÕES CONSIGNADOS II;10;0;10;0;0;0
35.593.905/0001-05;2024-12-31;1;CONCESSIONÁRIA ECOVIAS DO CERRADO S.A.;819407;0;819407;0;0;0
35.654.688/0001-08;2024-12-31;2;AUTOMOB PARTICIPAÇÕES S.A.;1894302852;0;1894302852;0;0;0
35.727.157/0001-06;2024-12-31;1;EZ INC INCORPORAÇÕES S.A.;200000;0;200000;0;0;0
35.764.708/0001-01;2024-12-31;1;BRASIL TECNOLOGIA E PARTICIPAÇÕES S.A.;154529600;0;154529600;0;0;0
35.791.391/0001-94;2024-12-31;2;QUALITY SOFTWARE S.A.;861605;0;861605;0;0;0
35.822.503/0001-27;2024-12-31;2;INSPIRALI EDUCAÇÃO S.A.;360743639;0;360743639;0;0;0
35.980.592/0001-30;2024-12-31;1;ELEA DIGITAL INFRAESTRUTURA E REDES DE TELECOMUNICAÇÕES S.A.;74720161;0;74720161;0;0;0
36.146.575/0001-64;2024-12-31;2;EIXO SP CONCESSIONÁRIA DE RODOVIAS S.A.;969857;0;969857;0;0;0
36.542.025/0001-64;2024-12-31;1;BRQ SOLUCOES EM INFORMATICA S.A.;133186083;0;133186083;1318911;0;1318911
