ticker,ano,lucro_liquido
01.637.895/0001-32,2023,2617880.0
01.637.895/0001-32,2024,1073696.0
01.772.313/0001-20,2010,-300.0
01.772.313/0001-20,2011,-356.0
01.772.313/0001-20,2012,-109.0
01.832.635/0001-18,2010,668930.0
01.832.635/0001-18,2011,-261513.0
01.838.723/0001-27,2010,804996.0
01.838.723/0001-27,2011,1365089.0
01.838.723/0001-27,2012,820667.0
01.838.723/0001-27,2013,1066837.0
01.838.723/0001-27,2014,2224877.0
01.838.723/0001-27,2015,3130858.0
01.838.723/0001-27,2016,-367339.0
01.838.723/0001-27,2017,-1098854.0
01.838.723/0001-27,2018,-4466246.0
01.838.723/0001-27,2019,297452.0
01.838.723/0001-27,2020,1390069.0
01.838.723/0001-27,2021,437384.0
01.838.723/0001-27,2022,-3141626.0
01.838.723/0001-27,2023,-1868852.0
01.838.723/0001-27,2024,3691904.0
01.896.779/0001-38,2023,88423.0
01.896.779/0001-38,2024,91177.0
01.917.705/0001-30,2010,1306490.0
01.917.705/0001-30,2011,1521537.0
01.917.705/0001-30,2012,43840.0
01.917.705/0001-30,2013,150571.0
01.917.705/0001-30,2014,-177884.0
01.917.705/0001-30,2015,54281.0
01.917.705/0001-30,2016,225146.0
01.917.818/0001-36,2011,90750.0
01.917.818/0001-36,2012,133706.0
01.917.818/0001-36,2013,199185.0
01.917.818/0001-36,2014,267670.0
01.917.818/0001-36,2015,15335.0
01.917.818/0001-36,2016,-173938.0
01.917.818/0001-36,2017,-73320.0
01.917.818/0001-36,2018,36001.0
01.917.818/0001-36,2019,326609.0
01.917.818/0001-36,2020,421817.0
01.917.818/0001-36,2021,102961.0
01.917.818/0001-36,2022,146311.0
01.917.818/0001-36,2023,368101.0
01.917.818/0001-36,2024,133411.0
01.938.783/0001-11,2010,27497.0
01.938.783/0001-11,2011,-2043.0
01.938.783/0001-11,2012,2797.0
01.938.783/0001-11,2013,-11215.0
01.938.783/0001-11,2014,17496.0
01.938.783/0001-11,2015,25956.0
01.938.783/0001-11,2016,67268.0
01.938.783/0001-11,2017,37147.0
01.938.783/0001-11,2018,35611.0
01.938.783/0001-11,2019,45695.0
01.938.783/0001-11,2020,464599.0
01.938.783/0001-11,2021,135400.0
01.938.783/0001-11,2022,40580.0
01.938.783/0001-11,2023,12135.0
01.938.783/0001-11,2024,41040.0
01.957.772/0001-89,2010,1739.0
01.957.772/0001-89,2011,1869.0
01.957.772/0001-89,2012,1035.0
01.957.772/0001-89,2019,-3548.0
01.957.772/0001-89,2020,-574.0
01.957.772/0001-89,2021,-469.0
01.957.772/0001-89,2022,224.0
01.957.772/0001-89,2024,-479.0
01.968.293/0001-68,2021,989845.0
01.968.293/0001-68,2022,268874.0
01.968.293/0001-68,2023,299244.0
01.968.293/0001-68,2024,274720.0
01.971.614/0001-83,2010,6799.0
01.971.614/0001-83,2011,46128.0
01.971.614/0001-83,2012,-8408.0
01.971.614/0001-83,2013,14435.0
01.971.614/0001-83,2014,-49784.0
01.971.614/0001-83,2015,-60342.0
01.971.614/0001-83,2016,-85322.0
01.971.614/0001-83,2017,46156.0
01.971.614/0001-83,2018,29366.0
01.971.614/0001-83,2019,-17688.0
01.971.614/0001-83,2020,-55356.0
01.971.614/0001-83,2021,-17375.0
02.016.507/0001-69,2023,-647360.0
02.016.507/0001-69,2023,-647360.0
02.016.507/0001-69,2024,639275.0
02.041.460/0001-93,2022,-443340.0
02.041.460/0001-93,2023,385622.0
02.041.460/0001-93,2024,864359.0
02.105.040/0001-23,2010,9595.0
02.105.040/0001-23,2011,10997.0
02.105.040/0001-23,2012,8218.0
02.105.040/0001-23,2013,4698.0
02.105.040/0001-23,2014,4985.0
02.105.040/0001-23,2015,6184.0
02.105.040/0001-23,2016,7195.0
02.105.040/0001-23,2017,8009.0
02.105.040/0001-23,2018,2023.0
02.105.040/0001-23,2019,-1448.0
02.105.040/0001-23,2020,2743.0
02.105.040/0001-23,2021,354.0
02.107.946/0001-87,2010,1432431.0
02.107.946/0001-87,2011,-814864.0
02.107.946/0001-87,2012,112389.0
02.107.946/0001-87,2013,175039.0
02.107.946/0001-87,2014,-5474271.0
02.149.205/0001-69,2010,623363.0
02.149.205/0001-69,2011,580167.0
02.149.205/0001-69,2012,679998.0
02.149.205/0001-69,2013,1397311.0
02.149.205/0001-69,2014,876188.0
02.149.205/0001-69,2015,998342.0
02.149.205/0001-69,2016,911346.0
02.149.205/0001-69,2017,1098238.0
02.149.205/0001-69,2018,1309377.0
02.149.205/0001-69,2019,1379109.0
02.149.205/0001-69,2020,1688216.0
02.149.205/0001-69,2021,1544263.0
02.149.205/0001-69,2022,1152290.0
02.149.205/0001-69,2023,2314857.0
02.149.205/0001-69,2024,2690782.0
02.162.616/0001-94,2010,14562.0
02.183.757/0001-93,2010,217533.0
02.193.750/0001-52,2010,-19356.0
02.193.750/0001-52,2011,-38762.0
02.193.750/0001-52,2012,-36522.0
02.193.750/0001-52,2013,-111580.0
02.193.750/0001-52,2014,-26016.0
02.193.750/0001-52,2015,-56113.0
02.193.750/0001-52,2016,57957.0
02.193.750/0001-52,2017,114455.0
02.193.750/0001-52,2018,7557.0
02.193.750/0001-52,2019,22089.0
02.193.750/0001-52,2020,143887.0
02.193.750/0001-52,2021,229685.0
02.193.750/0001-52,2022,179915.0
02.193.750/0001-52,2023,211286.0
02.193.750/0001-52,2024,153199.0
02.201.787/0001-85,2010,43569.0
02.201.787/0001-85,2011,-8042733.0
02.201.787/0001-85,2012,-2456054.0
02.201.787/0001-85,2021,597540.0
02.201.787/0001-85,2022,472174.0
02.201.787/0001-85,2023,120707.0
02.201.787/0001-85,2024,152557.0
02.217.319/0001-07,2022,-524800.0
02.217.319/0001-07,2023,18249114.0
02.217.319/0001-07,2024,-49973.0
02.225.714/0001-23,2010,-21061.0
02.255.187/0001-08,2020,50449.0
02.255.187/0001-08,2021,80539.0
02.255.187/0001-08,2022,130208.0
02.255.187/0001-08,2023,145109.0
02.255.187/0001-08,2024,174566.0
02.258.422/0001-97,2021,184793.0
02.258.422/0001-97,2022,-9133.0
02.258.422/0001-97,2023,123440.0
02.258.422/0001-97,2024,-1531.0
02.286.479/0001-08,2018,210080.0
02.286.479/0001-08,2019,216045.0
02.286.479/0001-08,2020,396666.0
02.286.479/0001-08,2021,526797.0
02.286.479/0001-08,2022,539074.0
02.286.479/0001-08,2023,616267.0
02.286.479/0001-08,2024,831241.0
02.291.077/0001-93,2021,307.0
02.291.077/0001-93,2022,242.0
02.291.077/0001-93,2023,-510.0
02.291.077/0001-93,2024,211.0
02.302.101/0001-42,2010,13974.0
02.302.101/0001-42,2011,-40815.0
02.302.101/0001-42,2012,-125253.0
02.302.101/0001-42,2013,62364.0
02.302.101/0001-42,2014,-27163.0
02.302.101/0001-42,2015,59790.0
02.302.101/0001-42,2016,54980.0
02.302.101/0001-42,2017,119146.0
02.302.101/0001-42,2018,101517.0
02.302.101/0001-42,2019,92636.0
02.302.101/0001-42,2020,198485.0
02.302.101/0001-42,2021,149918.0
02.302.101/0001-42,2022,68015.0
02.302.101/0001-42,2023,150480.0
02.302.101/0001-42,2024,54724.0
02.312.604/0001-07,2010,11686.0
02.312.604/0001-07,2011,21112.0
02.312.604/0001-07,2012,28433.0
02.351.144/0001-18,2010,112302.0
02.351.144/0001-18,2011,99070.0
02.351.144/0001-18,2012,80476.0
02.351.144/0001-18,2013,39476.0
02.351.144/0001-18,2014,-22945.0
02.351.144/0001-18,2015,9930.0
02.351.144/0001-18,2016,13826.0
02.351.144/0001-18,2017,103763.0
02.351.144/0001-18,2018,108249.0
02.351.144/0001-18,2019,193972.0
02.351.144/0001-18,2020,73509.0
02.351.144/0001-18,2021,107785.0
02.351.144/0001-18,2022,159664.0
02.351.144/0001-18,2023,181912.0
02.351.144/0001-18,2024,270612.0
02.351.877/0001-52,2018,10886.0
02.351.877/0001-52,2019,18071.0
02.351.877/0001-52,2020,19740.0
02.351.877/0001-52,2021,-15749.0
02.351.877/0001-52,2022,30281.0
02.351.877/0001-52,2023,-73735.0
02.351.877/0001-52,2024,42194.0
02.357.251/0001-53,2018,-2076.0
02.357.251/0001-53,2019,18275.0
02.357.251/0001-53,2020,32072.0
02.357.251/0001-53,2021,101812.0
02.357.251/0001-53,2022,-15381.0
02.357.251/0001-53,2023,-18019.0
02.357.251/0001-53,2024,-27963.0
02.363.917/0001-86,2010,431.0
02.363.917/0001-86,2011,90.0
02.363.918/0001-20,2010,46.0
02.363.918/0001-20,2011,-5.0
02.365.069/0001-44,2010,-35468.0
02.365.069/0001-44,2011,-22233.0
02.365.069/0001-44,2012,-20613.0
02.365.069/0001-44,2013,-15501.0
02.365.069/0001-44,2014,-23491.0
02.365.069/0001-44,2015,-244046.0
02.365.069/0001-44,2016,119079.0
02.365.069/0001-44,2017,22912.0
02.365.069/0001-44,2018,11302.0
02.365.069/0001-44,2019,5439.0
02.365.069/0001-44,2020,17211.0
02.365.069/0001-44,2021,50949.0
02.365.069/0001-44,2022,9754.0
02.365.069/0001-44,2023,15413.0
